train tokens: 227,150,260  val tokens: 110,062
model params: 124,475,904  device=cuda
step     0 | train_loss 10.9419 | val_loss 10.9405 | val_ppl 56418.35 | lr 6.00e-06 | tok/s 0
  step     0 | loss 10.9427 | lr 6.00e-06
  step    25 | loss 8.3668 | lr 1.56e-04
  step    50 | loss 7.1605 | lr 3.06e-04
  step    75 | loss 6.8016 | lr 4.56e-04
  step   100 | loss 6.7583 | lr 6.00e-04
  step   125 | loss 6.5232 | lr 6.00e-04
  step   150 | loss 6.6313 | lr 6.00e-04
  step   175 | loss 6.4869 | lr 6.00e-04
step   200 | train_loss 6.4613 | val_loss 6.3883 | val_ppl 594.86 | lr 5.99e-04 | tok/s 1470
  step   200 | loss 6.5882 | lr 5.99e-04
  step   225 | loss 6.4627 | lr 5.99e-04
  step   250 | loss 6.1955 | lr 5.98e-04
  step   275 | loss 6.5232 | lr 5.98e-04
  step   300 | loss 6.2683 | lr 5.97e-04
  step   325 | loss 6.1059 | lr 5.96e-04
  step   350 | loss 6.1574 | lr 5.95e-04
  step   375 | loss 6.1559 | lr 5.94e-04
step   400 | train_loss 6.1613 | val_loss 6.1047 | val_ppl 447.97 | lr 5.93e-04 | tok/s 1473
  step   400 | loss 6.0076 | lr 5.93e-04
  step   425 | loss 5.9555 | lr 5.92e-04
  step   450 | loss 6.1799 | lr 5.91e-04
  step   475 | loss 5.8592 | lr 5.89e-04
  step   500 | loss 6.0356 | lr 5.88e-04
checkpoint saved: out/run2_gpt2small/ckpt_500.npz
  step   525 | loss 6.2046 | lr 5.87e-04
  step   550 | loss 5.8727 | lr 5.85e-04
  step   575 | loss 6.0758 | lr 5.83e-04
step   600 | train_loss 6.0728 | val_loss 6.0031 | val_ppl 404.68 | lr 5.81e-04 | tok/s 1475
  step   600 | loss 6.1242 | lr 5.81e-04
  step   625 | loss 5.8457 | lr 5.80e-04
  step   650 | loss 5.8369 | lr 5.78e-04
  step   675 | loss 5.8002 | lr 5.75e-04
  step   700 | loss 5.8126 | lr 5.73e-04
  step   725 | loss 5.5700 | lr 5.71e-04
  step   750 | loss 6.1594 | lr 5.69e-04
  step   775 | loss 6.0164 | lr 5.66e-04
step   800 | train_loss 5.9106 | val_loss 5.7995 | val_ppl 330.14 | lr 5.64e-04 | tok/s 1471
  step   800 | loss 5.7283 | lr 5.64e-04
  step   825 | loss 5.8285 | lr 5.61e-04
  step   850 | loss 6.1674 | lr 5.59e-04
  step   875 | loss 5.8821 | lr 5.56e-04
  step   900 | loss 5.7675 | lr 5.53e-04
  step   925 | loss 5.6865 | lr 5.50e-04
  step   950 | loss 5.7914 | lr 5.47e-04
  step   975 | loss 5.7983 | lr 5.44e-04
step  1000 | train_loss 5.7282 | val_loss 5.6770 | val_ppl 292.06 | lr 5.41e-04 | tok/s 1473
  step  1000 | loss 5.8064 | lr 5.41e-04
checkpoint saved: out/run2_gpt2small/ckpt_1000.npz
  step  1025 | loss 5.3726 | lr 5.38e-04
  step  1050 | loss 5.7655 | lr 5.35e-04
  step  1075 | loss 5.6307 | lr 5.32e-04
  step  1100 | loss 5.5021 | lr 5.28e-04
