train tokens: 227,150,260  val tokens: 110,062
model params: 124,475,904  device=cuda
step     0 | train_loss 10.9419 | val_loss 10.9405 | val_ppl 56418.35 | lr 2.40e-06 | tok/s 0
  step     0 | loss 10.9427 | lr 2.40e-06
  step    25 | loss 9.0508 | lr 6.24e-05
  step    50 | loss 7.5669 | lr 1.22e-04
  step    75 | loss 6.9741 | lr 1.82e-04
  step   100 | loss 6.8840 | lr 2.42e-04
  step   125 | loss 6.6122 | lr 3.02e-04
  step   150 | loss 6.6956 | lr 3.62e-04
  step   175 | loss 6.5542 | lr 4.22e-04
step   200 | train_loss 6.5193 | val_loss 6.4445 | val_ppl 629.26 | lr 4.82e-04 | tok/s 1470
  step   200 | loss 6.6460 | lr 4.82e-04
  step   225 | loss 6.5224 | lr 5.42e-04
  step   250 | loss 6.2341 | lr 6.00e-04
  step   275 | loss 6.5695 | lr 6.00e-04
  step   300 | loss 6.3101 | lr 6.00e-04
  step   325 | loss 6.1460 | lr 6.00e-04
  step   350 | loss 6.1987 | lr 6.00e-04
  step   375 | loss 6.1813 | lr 6.00e-04
step   400 | train_loss 6.2126 | val_loss 6.1679 | val_ppl 477.20 | lr 6.00e-04 | tok/s 1470
  step   400 | loss 6.0504 | lr 6.00e-04
  step   425 | loss 5.9910 | lr 6.00e-04
  step   450 | loss 6.2267 | lr 6.00e-04
  step   475 | loss 5.8815 | lr 5.99e-04
  step   500 | loss 6.0648 | lr 5.99e-04
  step   525 | loss 6.2344 | lr 5.99e-04
  step   550 | loss 5.8980 | lr 5.99e-04
  step   575 | loss 6.0992 | lr 5.99e-04
step   600 | train_loss 6.0973 | val_loss 6.0265 | val_ppl 414.26 | lr 5.99e-04 | tok/s 1472
  step   600 | loss 6.1524 | lr 5.99e-04
  step   625 | loss 5.8653 | lr 5.98e-04
  step   650 | loss 5.8415 | lr 5.98e-04
  step   675 | loss 5.8198 | lr 5.98e-04
  step   700 | loss 5.8371 | lr 5.98e-04
  step   725 | loss 5.5977 | lr 5.97e-04
  step   750 | loss 6.1564 | lr 5.97e-04
  step   775 | loss 6.0508 | lr 5.97e-04
step   800 | train_loss 5.9379 | val_loss 5.8312 | val_ppl 340.77 | lr 5.97e-04 | tok/s 1473
  step   800 | loss 5.7543 | lr 5.97e-04
  step   825 | loss 5.8556 | lr 5.96e-04
  step   850 | loss 6.1779 | lr 5.96e-04
  step   875 | loss 5.8948 | lr 5.96e-04
  step   900 | loss 5.7936 | lr 5.95e-04
  step   925 | loss 5.6993 | lr 5.95e-04
  step   950 | loss 5.8053 | lr 5.94e-04
  step   975 | loss 5.8203 | lr 5.94e-04
step  1000 | train_loss 5.7408 | val_loss 5.6859 | val_ppl 294.67 | lr 5.94e-04 | tok/s 1474
  step  1000 | loss 5.8302 | lr 5.94e-04
  step  1025 | loss 5.3870 | lr 5.93e-04
  step  1050 | loss 5.7818 | lr 5.93e-04
  step  1075 | loss 5.6546 | lr 5.92e-04
  step  1100 | loss 5.5222 | lr 5.92e-04
  step  1125 | loss 5.6424 | lr 5.91e-04
  step  1150 | loss 5.5048 | lr 5.91e-04
  step  1175 | loss 5.7622 | lr 5.90e-04
step  1200 | train_loss 5.5786 | val_loss 5.5341 | val_ppl 253.18 | lr 5.90e-04 | tok/s 1474
  step  1200 | loss 5.8948 | lr 5.90e-04
  step  1225 | loss 5.3483 | lr 5.89e-04
  step  1250 | loss 5.2887 | lr 5.89e-04
  step  1275 | loss 5.7109 | lr 5.88e-04
  step  1300 | loss 5.5640 | lr 5.87e-04
  step  1325 | loss 5.3404 | lr 5.87e-04
  step  1350 | loss 5.4753 | lr 5.86e-04
  step  1375 | loss 5.6160 | lr 5.86e-04
step  1400 | train_loss 5.4562 | val_loss 5.3892 | val_ppl 219.02 | lr 5.85e-04 | tok/s 1473
  step  1400 | loss 5.6228 | lr 5.85e-04
  step  1425 | loss 5.4198 | lr 5.84e-04
  step  1450 | loss 5.5498 | lr 5.84e-04
  step  1475 | loss 5.6760 | lr 5.83e-04
  step  1500 | loss 5.6392 | lr 5.82e-04
  step  1525 | loss 5.4231 | lr 5.81e-04
  step  1550 | loss 5.6814 | lr 5.81e-04
  step  1575 | loss 5.2883 | lr 5.80e-04
step  1600 | train_loss 5.3511 | val_loss 5.2647 | val_ppl 193.38 | lr 5.79e-04 | tok/s 1474
  step  1600 | loss 5.3701 | lr 5.79e-04
  step  1625 | loss 5.4241 | lr 5.78e-04
  step  1650 | loss 5.4072 | lr 5.78e-04
  step  1675 | loss 5.4137 | lr 5.77e-04
  step  1700 | loss 5.1296 | lr 5.76e-04
  step  1725 | loss 5.1082 | lr 5.75e-04
  step  1750 | loss 5.4655 | lr 5.74e-04
  step  1775 | loss 5.1672 | lr 5.74e-04
step  1800 | train_loss 5.3473 | val_loss 5.2006 | val_ppl 181.39 | lr 5.73e-04 | tok/s 1474
  step  1800 | loss 5.3237 | lr 5.73e-04
  step  1825 | loss 5.2291 | lr 5.72e-04
  step  1850 | loss 5.1656 | lr 5.71e-04
  step  1875 | loss 5.1044 | lr 5.70e-04
  step  1900 | loss 5.4805 | lr 5.69e-04
  step  1925 | loss 5.1899 | lr 5.68e-04
  step  1950 | loss 5.1480 | lr 5.67e-04
  step  1975 | loss 5.4298 | lr 5.66e-04
step  2000 | train_loss 5.2356 | val_loss 5.1163 | val_ppl 166.71 | lr 5.65e-04 | tok/s 1475
  step  2000 | loss 5.2440 | lr 5.65e-04
checkpoint saved: out/run2b_gpt2small_135M/ckpt_2000.npz
  step  2025 | loss 5.0783 | lr 5.64e-04
  step  2050 | loss 5.2706 | lr 5.63e-04
  step  2075 | loss 4.8755 | lr 5.63e-04
  step  2100 | loss 5.1380 | lr 5.61e-04
  step  2125 | loss 5.1957 | lr 5.60e-04
  step  2150 | loss 5.0666 | lr 5.59e-04
  step  2175 | loss 5.1452 | lr 5.58e-04
step  2200 | train_loss 5.1090 | val_loss 5.0690 | val_ppl 159.01 | lr 5.57e-04 | tok/s 1471
  step  2200 | loss 5.0627 | lr 5.57e-04
  step  2225 | loss 5.3284 | lr 5.56e-04
  step  2250 | loss 5.0677 | lr 5.55e-04
  step  2275 | loss 5.1835 | lr 5.54e-04
  step  2300 | loss 5.2239 | lr 5.53e-04
  step  2325 | loss 5.0141 | lr 5.52e-04
  step  2350 | loss 4.9395 | lr 5.51e-04
  step  2375 | loss 5.2335 | lr 5.50e-04
step  2400 | train_loss 5.0228 | val_loss 5.0113 | val_ppl 150.10 | lr 5.48e-04 | tok/s 1474
  step  2400 | loss 5.0337 | lr 5.48e-04
  step  2425 | loss 5.1451 | lr 5.47e-04
  step  2450 | loss 5.0979 | lr 5.46e-04
  step  2475 | loss 5.1058 | lr 5.45e-04
  step  2500 | loss 5.1567 | lr 5.44e-04
  step  2525 | loss 5.0432 | lr 5.42e-04
  step  2550 | loss 4.8958 | lr 5.41e-04
  step  2575 | loss 4.8737 | lr 5.40e-04
step  2600 | train_loss 5.0152 | val_loss 5.0036 | val_ppl 148.95 | lr 5.39e-04 | tok/s 1476
  step  2600 | loss 4.8849 | lr 5.39e-04
  step  2625 | loss 4.8578 | lr 5.38e-04
  step  2650 | loss 4.9502 | lr 5.36e-04
  step  2675 | loss 5.0496 | lr 5.35e-04
  step  2700 | loss 5.0215 | lr 5.34e-04
  step  2725 | loss 5.0071 | lr 5.32e-04
  step  2750 | loss 4.8733 | lr 5.31e-04
  step  2775 | loss 4.8539 | lr 5.30e-04
step  2800 | train_loss 4.9708 | val_loss 4.9383 | val_ppl 139.54 | lr 5.28e-04 | tok/s 1478
  step  2800 | loss 5.0022 | lr 5.28e-04
  step  2825 | loss 4.8705 | lr 5.27e-04
  step  2850 | loss 4.7867 | lr 5.26e-04
  step  2875 | loss 4.8565 | lr 5.24e-04
  step  2900 | loss 4.7728 | lr 5.23e-04
  step  2925 | loss 4.8518 | lr 5.22e-04
  step  2950 | loss 4.8338 | lr 5.20e-04
  step  2975 | loss 4.7739 | lr 5.19e-04
step  3000 | train_loss 4.8803 | val_loss 4.7731 | val_ppl 118.28 | lr 5.17e-04 | tok/s 1477
  step  3000 | loss 4.8785 | lr 5.17e-04
  step  3025 | loss 4.8930 | lr 5.16e-04
  step  3050 | loss 4.9362 | lr 5.15e-04
  step  3075 | loss 4.8142 | lr 5.13e-04
  step  3100 | loss 4.7741 | lr 5.12e-04
  step  3125 | loss 4.9317 | lr 5.10e-04
  step  3150 | loss 4.9396 | lr 5.09e-04
  step  3175 | loss 4.7747 | lr 5.07e-04
step  3200 | train_loss 4.8723 | val_loss 4.7751 | val_ppl 118.52 | lr 5.06e-04 | tok/s 1478
  step  3200 | loss 4.9562 | lr 5.06e-04
  step  3225 | loss 5.0074 | lr 5.04e-04
  step  3250 | loss 4.8781 | lr 5.03e-04
  step  3275 | loss 4.8618 | lr 5.01e-04
  step  3300 | loss 4.6142 | lr 5.00e-04
  step  3325 | loss 4.5904 | lr 4.98e-04
  step  3350 | loss 4.7703 | lr 4.97e-04
  step  3375 | loss 4.8673 | lr 4.95e-04
step  3400 | train_loss 4.8051 | val_loss 4.7154 | val_ppl 111.65 | lr 4.93e-04 | tok/s 1478
  step  3400 | loss 4.6610 | lr 4.93e-04
  step  3425 | loss 4.9188 | lr 4.92e-04
  step  3450 | loss 4.6634 | lr 4.90e-04
  step  3475 | loss 4.9059 | lr 4.89e-04
  step  3500 | loss 4.7260 | lr 4.87e-04
  step  3525 | loss 4.9812 | lr 4.85e-04
  step  3550 | loss 4.7279 | lr 4.84e-04
  step  3575 | loss 4.6705 | lr 4.82e-04
step  3600 | train_loss 4.7178 | val_loss 4.6656 | val_ppl 106.23 | lr 4.81e-04 | tok/s 1479
  step  3600 | loss 4.5565 | lr 4.81e-04
  step  3625 | loss 4.6843 | lr 4.79e-04
  step  3650 | loss 4.7953 | lr 4.77e-04
  step  3675 | loss 4.7189 | lr 4.76e-04
  step  3700 | loss 4.5549 | lr 4.74e-04
  step  3725 | loss 4.7947 | lr 4.72e-04
  step  3750 | loss 4.8006 | lr 4.71e-04
  step  3775 | loss 4.6822 | lr 4.69e-04
step  3800 | train_loss 4.7380 | val_loss 4.6984 | val_ppl 109.77 | lr 4.67e-04 | tok/s 1479
  step  3800 | loss 4.7469 | lr 4.67e-04
  step  3825 | loss 4.6758 | lr 4.66e-04
  step  3850 | loss 4.7539 | lr 4.64e-04
  step  3875 | loss 4.7069 | lr 4.62e-04
  step  3900 | loss 4.7372 | lr 4.60e-04
  step  3925 | loss 4.8591 | lr 4.59e-04
  step  3950 | loss 4.7986 | lr 4.57e-04
  step  3975 | loss 4.8644 | lr 4.55e-04
step  4000 | train_loss 4.6913 | val_loss 4.6233 | val_ppl 101.83 | lr 4.53e-04 | tok/s 1478
  step  4000 | loss 5.0285 | lr 4.53e-04
checkpoint saved: out/run2b_gpt2small_135M/ckpt_4000.npz
  step  4025 | loss 4.6836 | lr 4.52e-04
  step  4050 | loss 4.6789 | lr 4.50e-04
  step  4075 | loss 4.7404 | lr 4.48e-04
  step  4100 | loss 4.5688 | lr 4.46e-04
  step  4125 | loss 4.6160 | lr 4.45e-04
  step  4150 | loss 4.6473 | lr 4.43e-04
  step  4175 | loss 4.7289 | lr 4.41e-04
step  4200 | train_loss 4.6886 | val_loss 4.6105 | val_ppl 100.54 | lr 4.39e-04 | tok/s 1478
  step  4200 | loss 4.5866 | lr 4.39e-04
  step  4225 | loss 4.5969 | lr 4.37e-04
  step  4250 | loss 4.7796 | lr 4.36e-04
  step  4275 | loss 4.7348 | lr 4.34e-04
  step  4300 | loss 4.6631 | lr 4.32e-04
  step  4325 | loss 4.4439 | lr 4.30e-04
  step  4350 | loss 4.6614 | lr 4.28e-04
  step  4375 | loss 4.7083 | lr 4.26e-04
step  4400 | train_loss 4.5783 | val_loss 4.5290 | val_ppl 92.67 | lr 4.25e-04 | tok/s 1479
  step  4400 | loss 4.6866 | lr 4.25e-04
  step  4425 | loss 4.4486 | lr 4.23e-04
  step  4450 | loss 4.5542 | lr 4.21e-04
  step  4475 | loss 4.4544 | lr 4.19e-04
  step  4500 | loss 4.7778 | lr 4.17e-04
  step  4525 | loss 4.4639 | lr 4.15e-04
  step  4550 | loss 4.6018 | lr 4.13e-04
  step  4575 | loss 4.6558 | lr 4.12e-04
step  4600 | train_loss 4.5490 | val_loss 4.5496 | val_ppl 94.59 | lr 4.10e-04 | tok/s 1479
  step  4600 | loss 4.4871 | lr 4.10e-04
  step  4625 | loss 4.7495 | lr 4.08e-04
  step  4650 | loss 4.4080 | lr 4.06e-04
  step  4675 | loss 4.5418 | lr 4.04e-04
  step  4700 | loss 4.5127 | lr 4.02e-04
  step  4725 | loss 4.6408 | lr 4.00e-04
  step  4750 | loss 4.5275 | lr 3.98e-04
  step  4775 | loss 4.7130 | lr 3.96e-04
step  4800 | train_loss 4.5737 | val_loss 4.4927 | val_ppl 89.36 | lr 3.94e-04 | tok/s 1478
  step  4800 | loss 4.2739 | lr 3.94e-04
  step  4825 | loss 4.7768 | lr 3.93e-04
  step  4850 | loss 4.5809 | lr 3.91e-04
  step  4875 | loss 4.5545 | lr 3.89e-04
  step  4900 | loss 4.4597 | lr 3.87e-04
  step  4925 | loss 4.4605 | lr 3.85e-04
  step  4950 | loss 4.4226 | lr 3.83e-04
  step  4975 | loss 4.5707 | lr 3.81e-04
step  5000 | train_loss 4.4836 | val_loss 4.5217 | val_ppl 91.99 | lr 3.79e-04 | tok/s 1479
