train tokens: 227,150,260  val tokens: 110,062
model params: 30,062,592  device=cuda
step     0 | train_loss 10.9012 | val_loss 10.9033 | val_ppl 54354.64 | lr 2.00e-06 | tok/s 0
  step     0 | loss 10.8914 | lr 2.00e-06
  step    50 | loss 9.2160 | lr 1.02e-04
  step   100 | loss 7.3982 | lr 2.02e-04
  step   150 | loss 6.8282 | lr 3.02e-04
  step   200 | loss 6.7361 | lr 4.02e-04
  step   250 | loss 6.8078 | lr 5.02e-04
  step   300 | loss 6.3571 | lr 6.00e-04
  step   350 | loss 6.2230 | lr 6.00e-04
  step   400 | loss 6.2169 | lr 6.00e-04
  step   450 | loss 6.2346 | lr 6.00e-04
step   500 | train_loss 6.0798 | val_loss 6.0285 | val_ppl 415.08 | lr 6.00e-04 | tok/s 17099
  step   500 | loss 6.1215 | lr 6.00e-04
  step   550 | loss 6.1487 | lr 6.00e-04
  step   600 | loss 6.0149 | lr 6.00e-04
  step   650 | loss 5.9338 | lr 6.00e-04
  step   700 | loss 6.0619 | lr 6.00e-04
  step   750 | loss 5.8281 | lr 6.00e-04
  step   800 | loss 5.7808 | lr 6.00e-04
  step   850 | loss 5.6909 | lr 5.99e-04
  step   900 | loss 5.7783 | lr 5.99e-04
  step   950 | loss 5.6142 | lr 5.99e-04
step  1000 | train_loss 5.6844 | val_loss 5.6448 | val_ppl 282.81 | lr 5.99e-04 | tok/s 17030
  step  1000 | loss 5.6050 | lr 5.99e-04
  step  1050 | loss 5.7345 | lr 5.99e-04
  step  1100 | loss 5.5739 | lr 5.99e-04
  step  1150 | loss 5.7579 | lr 5.99e-04
  step  1200 | loss 5.3911 | lr 5.99e-04
  step  1250 | loss 5.6413 | lr 5.98e-04
  step  1300 | loss 5.3941 | lr 5.98e-04
  step  1350 | loss 5.4245 | lr 5.98e-04
  step  1400 | loss 5.5654 | lr 5.98e-04
  step  1450 | loss 5.4690 | lr 5.98e-04
step  1500 | train_loss 5.4918 | val_loss 5.4271 | val_ppl 227.49 | lr 5.98e-04 | tok/s 17069
  step  1500 | loss 5.3882 | lr 5.98e-04
  step  1550 | loss 5.4217 | lr 5.97e-04
  step  1600 | loss 5.3980 | lr 5.97e-04
  step  1650 | loss 5.5167 | lr 5.97e-04
  step  1700 | loss 5.5703 | lr 5.97e-04
  step  1750 | loss 5.5645 | lr 5.96e-04
  step  1800 | loss 5.2675 | lr 5.96e-04
  step  1850 | loss 5.2389 | lr 5.96e-04
  step  1900 | loss 5.2800 | lr 5.96e-04
  step  1950 | loss 5.3388 | lr 5.95e-04
step  2000 | train_loss 5.3527 | val_loss 5.2888 | val_ppl 198.11 | lr 5.95e-04 | tok/s 17071
  step  2000 | loss 5.4435 | lr 5.95e-04
checkpoint saved: /home/sanyam-0605/Desktop/sanyam_projects/rumik assignment/out/ckpt_2000.npz
  step  2050 | loss 5.2722 | lr 5.95e-04
  step  2100 | loss 5.1643 | lr 5.94e-04
  step  2150 | loss 5.4767 | lr 5.94e-04
  step  2200 | loss 5.1496 | lr 5.94e-04
  step  2250 | loss 5.2605 | lr 5.93e-04
  step  2300 | loss 5.2573 | lr 5.93e-04
  step  2350 | loss 5.0824 | lr 5.93e-04
  step  2400 | loss 5.1351 | lr 5.92e-04
  step  2450 | loss 5.2750 | lr 5.92e-04
step  2500 | train_loss 5.2026 | val_loss 5.1295 | val_ppl 168.94 | lr 5.92e-04 | tok/s 17064
  step  2500 | loss 5.2133 | lr 5.92e-04
  step  2550 | loss 5.3073 | lr 5.91e-04
  step  2600 | loss 5.0670 | lr 5.91e-04
  step  2650 | loss 5.3758 | lr 5.90e-04
  step  2700 | loss 5.1062 | lr 5.90e-04
  step  2750 | loss 5.0929 | lr 5.90e-04
  step  2800 | loss 5.0516 | lr 5.89e-04
  step  2850 | loss 5.1509 | lr 5.89e-04
  step  2900 | loss 5.2547 | lr 5.88e-04
  step  2950 | loss 5.1917 | lr 5.88e-04
step  3000 | train_loss 5.1309 | val_loss 5.0501 | val_ppl 156.04 | lr 5.87e-04 | tok/s 17066
  step  3000 | loss 5.0479 | lr 5.87e-04
  step  3050 | loss 4.9522 | lr 5.87e-04
  step  3100 | loss 5.3509 | lr 5.86e-04
  step  3150 | loss 5.0752 | lr 5.86e-04
  step  3200 | loss 5.0450 | lr 5.86e-04
  step  3250 | loss 5.1355 | lr 5.85e-04
  step  3300 | loss 5.0166 | lr 5.85e-04
  step  3350 | loss 5.2359 | lr 5.84e-04
  step  3400 | loss 4.9037 | lr 5.83e-04
  step  3450 | loss 5.0214 | lr 5.83e-04
step  3500 | train_loss 5.0297 | val_loss 4.9744 | val_ppl 144.66 | lr 5.82e-04 | tok/s 17063
  step  3500 | loss 4.9932 | lr 5.82e-04
  step  3550 | loss 5.0287 | lr 5.82e-04
  step  3600 | loss 4.9709 | lr 5.81e-04
  step  3650 | loss 5.0280 | lr 5.81e-04
  step  3700 | loss 4.9374 | lr 5.80e-04
  step  3750 | loss 5.1084 | lr 5.80e-04
  step  3800 | loss 5.0643 | lr 5.79e-04
  step  3850 | loss 4.9810 | lr 5.78e-04
  step  3900 | loss 5.0092 | lr 5.78e-04
  step  3950 | loss 5.1472 | lr 5.77e-04
step  4000 | train_loss 4.9511 | val_loss 4.8809 | val_ppl 131.75 | lr 5.77e-04 | tok/s 17055
  step  4000 | loss 4.9059 | lr 5.77e-04
checkpoint saved: /home/sanyam-0605/Desktop/sanyam_projects/rumik assignment/out/ckpt_4000.npz
  step  4050 | loss 4.9409 | lr 5.76e-04
  step  4100 | loss 4.9137 | lr 5.75e-04
  step  4150 | loss 4.9479 | lr 5.75e-04
  step  4200 | loss 4.8868 | lr 5.74e-04
  step  4250 | loss 5.0462 | lr 5.73e-04
  step  4300 | loss 4.9799 | lr 5.73e-04
  step  4350 | loss 4.8780 | lr 5.72e-04
  step  4400 | loss 4.9055 | lr 5.71e-04
  step  4450 | loss 4.7747 | lr 5.71e-04
step  4500 | train_loss 4.9103 | val_loss 4.8579 | val_ppl 128.75 | lr 5.70e-04 | tok/s 17024
  step  4500 | loss 5.0099 | lr 5.70e-04
  step  4550 | loss 4.8515 | lr 5.69e-04
  step  4600 | loss 4.8812 | lr 5.69e-04
  step  4650 | loss 4.8085 | lr 5.68e-04
  step  4700 | loss 4.9556 | lr 5.67e-04
  step  4750 | loss 4.7659 | lr 5.66e-04
  step  4800 | loss 4.8483 | lr 5.66e-04
  step  4850 | loss 4.9151 | lr 5.65e-04
  step  4900 | loss 4.8494 | lr 5.64e-04
  step  4950 | loss 4.8456 | lr 5.63e-04
step  5000 | train_loss 4.8554 | val_loss 4.8248 | val_ppl 124.56 | lr 5.63e-04 | tok/s 17041
  step  5000 | loss 4.8301 | lr 5.63e-04
  step  5050 | loss 4.9659 | lr 5.62e-04
